阶段,分组,小组排名,球队,球员姓名,位置,号码,国籍,出生日期,年龄,身高(cm),体重(kg),球员来源ID,照片URL
世界杯小组赛,Group J,3,Algeria,Ibrahim MAZA,MF,22,ALG,2005/11/24,20,180,78,494291,https://digitalhub.fifa.com/transform/d1a9f2e9-3dda-4bdb-b2a1-f026bb97d9ce/MAZA-Ibrahim_494291
世界杯小组赛,Group J,3,Algeria,Yassine TITRAOUI,MF,24,ALG,2003/7/26,22,180,70,433631,https://digitalhub.fifa.com/transform/d5bf01cd-ba36-4a99-80c8-9287c6df0069/TITRAOUI-Yassine_433631
世界杯小组赛,Group J,3,Algeria,Riyad Mahrez,FW,7,ALG,1991/2/21,35,179,73,379942,https://digitalhub.fifa.com/transform/172fb59c-24f2-4bc0-82a2-cdc869badf53/MAHREZ-Riyad_379942
世界杯小组赛,Group J,3,Algeria,Amine GOUIRI,FW,9,ALG,2000/2/16,26,180,72,405877,https://digitalhub.fifa.com/transform/4818d176-036a-4494-b53e-ada08bba749c/GOUIRI-Amine_405877
世界杯小组赛,Group J,3,Algeria,Anis HADJ MOUSSA,FW,11,ALG,2002/2/11,24,176,75,482874,https://digitalhub.fifa.com/transform/7446a4bb-0884-461c-8fd7-7ce4c93a0a46/HADJ-MOUSSA-Anis_482874
世界杯小组赛,Group J,3,Algeria,Nadhir BENBOUALI,FW,12,ALG,2000/4/17,26,190,85,520071,https://digitalhub.fifa.com/transform/9e9811da-2a8a-48cd-9088-1a45b6f90e0a/BENBOUALI-Nadhir_520071
世界杯小组赛,Group J,3,Algeria,Mohamed AMOURA,FW,18,ALG,2000/5/9,26,170,68,477790,https://digitalhub.fifa.com/transform/5aa32614-1ae5-49be-aed3-f9636a556385/AMOURA-Mohamed_477790
世界杯小组赛,Group J,3,Algeria,Adil BOULBINA,FW,20,ALG,2003/5/2,23,183,80,512132,https://digitalhub.fifa.com/transform/167d2400-d78c-4931-8a84-7b27284bd386/BOULBINA-Adil_512132
世界杯小组赛,Group J,3,Algeria,Fares GHEDJEMIS,FW,25,ALG,2002/9/6,23,183,82,520072,https://digitalhub.fifa.com/transform/39118134-164a-4baa-9884-de4f4821a0b7/GHEDJEMIS-Fares_520072
世界杯小组赛,Group J,1,Argentina,Juan MUSSO,GK,1,ARG,1994/5/6,32,193,94,430624,https://digitalhub.fifa.com/transform/c4a2b6b7-378f-422d-b2d1-42a04e5b1dfb/MUSSO-Juan_430624
世界杯小组赛,Group J,1,Argentina,Geronimo RULLI,GK,12,ARG,1992/5/20,34,189,80,394824,https://digitalhub.fifa.com/transform/db91883b-99ec-4aa2-bf1a-cc7912040c7b/RULLI-Geronimo_394824
世界杯小组赛,Group J,1,Argentina,Emiliano MARTINEZ,GK,23,ARG,1992/9/2,33,195,98,308300,https://digitalhub.fifa.com/transform/f5f477fe-a519-4c69-bb68-f6f5b97c1399/MARTINEZ_Emiliano_308300
世界杯小组赛,Group J,1,Argentina,Marcos SENESI,DF,2,ARG,1997/5/10,29,185,80,402934,https://digitalhub.fifa.com/transform/6e675b37-0a1a-4b1e-8ec8-34425ac08d86/MARCOS-SENESI_402934
世界杯小组赛,Group J,1,Argentina,Nicolas TAGLIAFICO,DF,3,ARG,1992/8/31,33,172,65,308322,https://digitalhub.fifa.com/transform/dd4d5f75-b3d4-4ff2-81bf-c16bf0b0a061/TAGLIAFICO-Nicolas_308322
世界杯小组赛,Group J,1,Argentina,Gonzalo MONTIEL,DF,4,ARG,1997/1/1,29,175,70,402926,https://digitalhub.fifa.com/transform/b8cd278f-c843-4b99-9fb3-c8f081fbb2a8/MONTIEL-Gonzalo_402926
世界杯小组赛,Group J,1,Argentina,Lisandro MARTINEZ,DF,6,ARG,1998/1/18,28,175,78,402921,https://digitalhub.fifa.com/transform/1b4390f3-e94f-4851-a36b-595356b3d414/MARTINEZ-Lisandro_402921
世界杯小组赛,Group J,1,Argentina,Cristian ROMERO,DF,13,ARG,1998/4/27,28,185,78,431196,https://digitalhub.fifa.com/transform/61d5d60a-7e5a-4a29-919d-c52bd80b9a5a/ROMERO-Cristian_431196
世界杯小组赛,Group J,1,Argentina,Nicolas OTAMENDI,DF,19,ARG,1988/2/12,38,182,84,310116,https://digitalhub.fifa.com/transform/4aedbffa-a35c-4aa5-a7ce-8a29c2af3e72/OTAMENDI-Nicolas_310116
世界杯小组赛,Group J,1,Argentina,Facundo MEDINA,DF,25,ARG,1999/5/28,27,184,80,418963,https://digitalhub.fifa.com/transform/6d4b9a27-2cd5-4372-8426-51876990ba1b/MEDINA-Facundo_418963
世界杯小组赛,Group J,1,Argentina,Nahuel MOLINA,DF,26,ARG,1998/4/6,28,179,74,402925,https://digitalhub.fifa.com/transform/7aef8344-2a5b-42f0-b1a0-565d5220aa76/MOLINA-Nahuel_402925
世界杯小组赛,Group J,1,Argentina,Leandro PAREDES,MF,5,ARG,1994/6/29,31,182,74,332847,https://digitalhub.fifa.com/transform/76c073ae-2d3c-47b6-8fb5-698893f91a6f/PAREDES-Leandro_332847
世界杯小组赛,Group J,1,Argentina,Rodrigo DE PAUL,MF,7,ARG,1994/5/24,32,178,73,428882,https://digitalhub.fifa.com/transform/314bcb4c-8c81-4bce-9750-85827a209c1b/DE-PAUL-Rodrigo_428882
世界杯小组赛,Group J,1,Argentina,Valentin BARCO,MF,8,ARG,2004/7/23,21,172,67,463661,https://digitalhub.fifa.com/transform/b3a01b61-2e37-439e-b277-5d37c89923ab/BARCO-Valentin_463661
世界杯小组赛,Group J,1,Argentina,Giovani Lo Celso,MF,11,ARG,1996/4/9,30,177,75,395414,https://digitalhub.fifa.com/transform/ddda0414-89fe-4118-9830-8ef417990db4/LO-CELSO-Giovani_395414
世界杯小组赛,Group J,1,Argentina,Exequiel PALACIOS,MF,14,ARG,1998/10/5,27,177,72,389485,https://digitalhub.fifa.com/transform/0c3725a4-a529-412d-867b-2ca0929a7a85/PALACIOS-Exequiel_389485
世界杯小组赛,Group J,1,Argentina,Nico GONZALEZ,MF,15,ARG,1998/4/6,28,180,80,430631,https://digitalhub.fifa.com/transform/7c86f0b3-0e7b-46e4-adb5-eafcd09d5cd0/GONZALEZ-Nico_430631
世界杯小组赛,Group J,1,Argentina,Alexis MAC ALLISTER,MF,20,ARG,1998/12/24,27,176,75,430628,https://digitalhub.fifa.com/transform/78b6a9e4-f2b9-4e19-b414-79b18858caaf/MAC-ALLISTER-Alexis_430628
世界杯小组赛,Group J,1,Argentina,Enzo FERNANDEZ,MF,24,ARG,2001/1/17,25,178,83,448252,https://digitalhub.fifa.com/transform/b88c6da2-28db-4d61-a668-ac8e84114063/FERNANDEZ-Enzo_448252
世界杯小组赛,Group J,1,Argentina,Julian ALVAREZ,FW,9,ARG,2000/1/31,26,170,73,416081,https://digitalhub.fifa.com/transform/c7715f12-adb9-4504-9be2-e2899bdbd172/ALVAREZ-Julian_416081
世界杯小组赛,Group J,1,Argentina,Lionel MESSI,FW,10,ARG,1987/6/24,39,170,68,229397,https://digitalhub.fifa.com/transform/19823774-fac0-485a-8a8f-572e7324c6c2/MESSI-Lionel_229397
世界杯小组赛,Group J,1,Argentina,Thiago ALMADA,FW,16,ARG,2001/4/26,25,171,63,418975,https://digitalhub.fifa.com/transform/2bcc1c2f-7d0e-46c9-bcd9-1c02ed4d408a/ALMADA-Thiago_418975
世界杯小组赛,Group J,1,Argentina,Giuliano SIMEONE,FW,17,ARG,2002/12/18,23,174,71,485595,https://digitalhub.fifa.com/transform/5d379193-ed78-498b-81c0-0e1a50f2f7c9/SIMEONE-Giuliano_485595
世界杯小组赛,Group J,1,Argentina,Nico PAZ,FW,18,ARG,2004/9/8,21,185,79,441422,https://digitalhub.fifa.com/transform/db59cb7d-9b9e-4cdc-be14-07e16631dbd8/PAZ-Nico_441422
世界杯小组赛,Group J,1,Argentina,Jose Manuel LOPEZ,FW,21,ARG,2000/12/6,25,190,77,495054,https://digitalhub.fifa.com/transform/fe5c273f-95e7-49c7-b9a5-a332e4da801b/LOPEZ-Jose-Manuel_495054
世界杯小组赛,Group J,1,Argentina,Lautaro MARTINEZ,FW,22,ARG,1997/8/22,28,175,80,402920,https://digitalhub.fifa.com/transform/2368bf53-1f73-427b-929e-557187d53ac7/MARTINEZ-Lautaro_402920
世界杯小组赛,Group D,2,Australia,Mathew RYAN,GK,1,AUS,1992/4/8,34,184,82,339117,https://digitalhub.fifa.com/transform/7c98d5eb-1514-4e8f-a6c6-60f4017b2175/RYAN-Mathew_339117
世界杯小组赛,Group D,2,Australia,Paul Izzo,GK,12,AUS,1995/1/6,31,184,82,331135,https://digitalhub.fifa.com/transform/b64e66f2-6c65-4a90-8f28-6fc699fcf5ce/IZZO-Paul_331135
世界杯小组赛,Group D,2,Australia,Patrick BEACH,GK,18,AUS,2003/8/6,22,189,76,494557,https://digitalhub.fifa.com/transform/0ea3c68c-c425-41c4-b973-c60e2d5b4685/BEACH-Patrick_494557
世界杯小组赛,Group D,2,Australia,Milos DEGENEK,DF,2,AUS,1994/4/28,32,187,82,331149,https://digitalhub.fifa.com/transform/93c60eb1-755d-4019-aedb-4da099ceb670/DEGENEK-Milos_331149
世界杯小组赛,Group D,2,Australia,Alessandro CIRCATI,DF,3,AUS,2003/10/10,22,191,85,448014,https://digitalhub.fifa.com/transform/0bbf6585-1c6b-4416-8a3f-31a1d8d1625b/CIRCATI-Alessandro_448014
世界杯小组赛,Group D,2,Australia,Jacob ITALIANO,DF,4,AUS,2001/7/30,24,177,72,430450,https://digitalhub.fifa.com/transform/58be20f9-ed45-4c69-9c3d-d148271e8e92/ITALIANO-Jacob_430450
世界杯小组赛,Group D,2,Australia,Jordan BOS,DF,5,AUS,2002/10/29,23,180,83,423522,https://digitalhub.fifa.com/transform/4b537554-d211-4b77-aa31-0935973fdd50/BOS-Jordan_423522
世界杯小组赛,Group D,2,Australia,Jason GERIA,DF,6,AUS,1993/5/10,33,181,75,339112,https://digitalhub.fifa.com/transform/33a991a9-eb66-43b2-ad39-2718a8147c51/GERIA-Jason_339112
世界杯小组赛,Group D,2,Australia,Kai TREWIN,DF,15,AUS,2001/5/18,25,183,73,494411,https://digitalhub.fifa.com/transform/5753796c-c01e-444e-8896-5c6c79dcd9fb/TREWIN-Kai_494411
世界杯小组赛,Group D,2,Australia,Aziz BEHICH,DF,16,AUS,1990/12/16,35,170,65,349342,https://digitalhub.fifa.com/transform/7b166229-d82d-4323-9c79-eb973e996408/BEHICH-Aziz_349342
世界杯小组赛,Group D,2,Australia,Harry SOUTTAR,DF,19,AUS,1998/10/22,27,198,100,430442,https://digitalhub.fifa.com/transform/6777563e-5036-4252-9809-a0cc21d96147/SOUTTAR-Harry_430442
世界杯小组赛,Group D,2,Australia,Cameron BURGESS,DF,21,AUS,1995/10/21,30,194,93,382312,https://digitalhub.fifa.com/transform/75870c29-917d-4ad0-984c-c7ba4e85953c/BURGESS-Cameron_382312
世界杯小组赛,Group D,2,Australia,Lucas HERRINGTON,DF,25,AUS,2007/9/5,18,193,82,504931,https://digitalhub.fifa.com/transform/b0e45418-ff7e-4fdf-a7ac-8e7bf2d63624/HERRINGTON-Lucas_504931
世界杯小组赛,Group D,2,Australia,Connor METCALFE,MF,8,AUS,1999/11/5,26,183,75,430452,https://digitalhub.fifa.com/transform/a539f793-3d95-46b8-805e-67156152ac8b/METCALFE-Connor_430452
世界杯小组赛,Group D,2,Australia,Aiden ONEILL,MF,13,AUS,1998/7/4,27,180,78,430440,https://digitalhub.fifa.com/transform/a7dc9d98-0215-4756-995a-09b61830ab8b/ONEILL-Aiden_430440
世界杯小组赛,Group D,2,Australia,Cameron DEVLIN,MF,14,AUS,1998/6/7,28,170,67,430437,https://digitalhub.fifa.com/transform/1c095f2b-8169-4023-a676-48c6fb3e6897/DEVLIN-Cameron_430437
世界杯小组赛,Group D,2,Australia,Jackson IRVINE,MF,22,AUS,1993/3/7,33,189,79,355775,https://digitalhub.fifa.com/transform/7726492b-0996-47a2-aafd-bd362844d9df/IRVINE-Jackson_355775
世界杯小组赛,Group D,2,Australia,Paul OKON-ENGSTLER,MF,24,AUS,2005/1/24,21,185,82,498421,https://digitalhub.fifa.com/transform/c010f6a9-53af-4d79-b16d-f25b96670225/OKON-ENGSTLER-Paul_498421
世界杯小组赛,Group D,2,Australia,Mathew LECKIE,FW,7,AUS,1991/2/4,35,181,79,321697,https://digitalhub.fifa.com/transform/bc1b0683-9839-4c4e-acf1-2256bc2e58a3/LECKIE-Mathew_321697
世界杯小组赛,Group D,2,Australia,Mohamed TOURE,FW,9,AUS,2004/3/26,22,186,78,498806,https://digitalhub.fifa.com/transform/069af350-e4d8-4b30-af2d-6938b9a379fa/TOURE-Mohamed_498806
世界杯小组赛,Group D,2,Australia,Ajdin HRUSTIC,FW,10,AUS,1996/7/5,29,180,75,404319,https://digitalhub.fifa.com/transform/c63012a5-37f8-4317-8a69-60f861fb03a7/HRUSTIC-Ajdin_404319
世界杯小组赛,Group D,2,Australia,Awer MABIL,FW,11,AUS,1995/9/15,30,178,71,406606,https://digitalhub.fifa.com/transform/9beaa464-b945-4d89-b310-025eea682693/MABIL-Awer_406606
世界杯小组赛,Group D,2,Australia,Nestory IRANKUNDA,FW,17,AUS,2006/2/9,20,165,75,486306,https://digitalhub.fifa.com/transform/ebc599f9-d929-4c6c-a60e-7f081cfb7bd6/IRANKUNDA-Nestory_486306
世界杯小组赛,Group D,2,Australia,Cristian VOLPATO,FW,20,AUS,2003/11/15,22,187,76,448015,https://digitalhub.fifa.com/transform/e455ae41-95f0-454b-bd12-abdaffa68b7d/VOLPATO-Cristian_448015
世界杯小组赛,Group D,2,Australia,Nishan VELUPILLAY,FW,23,AUS,2001/5/7,25,181,77,491166,https://digitalhub.fifa.com/transform/27f30c93-f04b-4195-b105-4504c81abf6e/VELUPILLAY-Nishan_491166
世界杯小组赛,Group D,2,Australia,Tete YENGI,FW,26,AUS,2000/11/28,25,197,87,518200,https://digitalhub.fifa.com/transform/e581f23a-032d-448c-b389-d49738c8e9c1/YENGI-Tete_518200
世界杯小组赛,Group J,2,Austria,Alexander SCHLAGER,GK,1,AUT,1996/2/1,30,188,78,371739,https://digitalhub.fifa.com/transform/9612130f-7351-47d4-b346-dcd331a62cbe/SCHLAGER-Alexander_371739
世界杯小组赛,Group J,2,Austria,Florian WIEGELE,GK,12,AUT,2001/3/21,25,205,98,520034,https://digitalhub.fifa.com/transform/7feedee9-3390-40e2-a9aa-8867abd8b89e/WIEGELE-Florian_520034
世界杯小组赛,Group J,2,Austria,Patrick PENTZ,GK,13,AUT,1997/1/2,29,183,72,441065,https://digitalhub.fifa.com/transform/fee95866-9f5e-4663-b49f-3db6a86f0e80/PENTZ-Patrick_441065
世界杯小组赛,Group J,2,Austria,David AFFENGRUBER,DF,2,AUT,2001/3/19,25,185,79,520035,https://digitalhub.fifa.com/transform/cc8957b4-30b2-4559-9ae1-c8d14a3260a5/AFFENGRUBER-David_520035
世界杯小组赛,Group J,2,Austria,Kevin Danso,DF,3,AUT,1998/9/19,27,190,85,405263,https://digitalhub.fifa.com/transform/ff76ce8c-bd4a-436b-87d8-f62532d898b7/DANSO-Kevin_405263
世界杯小组赛,Group J,2,Austria,Stefan POSCH,DF,5,AUT,1997/5/14,29,188,76,441067,https://digitalhub.fifa.com/transform/c888b84b-0ddd-496f-b621-f281e4e54911/POSCH-Stefan_441067
世界杯小组赛,Group J,2,Austria,David ALABA,DF,8,AUT,1992/6/24,34,180,78,316002,https://digitalhub.fifa.com/transform/3ef36338-4967-43c2-8698-1fb504ce30fd/ALABA-David_316002
世界杯小组赛,Group J,2,Austria,Philipp Lienhart,DF,15,AUT,1996/7/11,29,189,80,372243,https://digitalhub.fifa.com/transform/b2217b87-df88-4228-8235-a7ec752aef31/LIENHART-Philipp_372243
世界杯小组赛,Group J,2,Austria,Phillip MWENE,DF,16,AUT,1994/1/29,32,170,66,463288,https://digitalhub.fifa.com/transform/c7b91eab-9cfc-4f0f-be61-71d31d1c4db8/MWENE-Phillip_463288
世界杯小组赛,Group J,2,Austria,Marco FRIEDL,DF,23,AUT,1998/3/16,28,187,82,463287,https://digitalhub.fifa.com/transform/dfc45944-180c-4df6-96b2-ef69faee7ee7/FRIEDL-Marco_463287
世界杯小组赛,Group J,2,Austria,Michael SVOBODA,DF,25,AUT,1998/10/15,27,195,90,491269,https://digitalhub.fifa.com/transform/f096e299-95db-4ab3-bcb4-ef15da6cda71/SVOBODA-Michael_491269
世界杯小组赛,Group J,2,Austria,Xaver Schlager,MF,4,AUT,1997/9/28,28,174,72,385531,https://digitalhub.fifa.com/transform/f00dad89-01ad-4a76-9b69-9da9b0cccceb/SCHLAGER-Xaver_385531
世界杯小组赛,Group J,2,Austria,Nicolas SEIWALD,MF,6,AUT,2001/5/4,25,179,79,441088,https://digitalhub.fifa.com/transform/fe3dce4a-3a64-48bd-bfd9-63614aa55336/SEIWALD-Nicolas_441088
世界杯小组赛,Group J,2,Austria,Marcel SABITZER,MF,9,AUT,1994/3/17,32,178,77,358241,https://digitalhub.fifa.com/transform/aa016ba2-828d-4d40-8e48-8f07a8d275d9/SABITZER-Marcel_358241
世界杯小组赛,Group J,2,Austria,Florian GRILLITSCH,MF,10,AUT,1995/8/7,30,186,74,385248,https://digitalhub.fifa.com/transform/255e18de-7d1d-4a99-a05c-8047149ec1bc/GRILLITSCH-Florian_385248
世界杯小组赛,Group J,2,Austria,Carney CHUKWUEMEKA,MF,17,AUT,2003/10/20,22,187,78,463800,https://digitalhub.fifa.com/transform/469aeffb-5ff1-4782-87c4-b3791f045384/CHUKWUEMEKA-Carney_463800
世界杯小组赛,Group J,2,Austria,Romano SCHMID,MF,18,AUT,2000/1/27,26,168,69,463283,https://digitalhub.fifa.com/transform/558d5b09-0c44-4c7e-bccb-1bf9ac31ca72/SCHMID-Romano_463283
世界杯小组赛,Group J,2,Austria,Dejan LJUBICIC,MF,19,AUT,1997/10/8,28,187,74,441068,https://digitalhub.fifa.com/transform/a9966145-1cd8-429d-99a2-ccb9cda89e87/LJUBICIC-Dejan_441068
世界杯小组赛,Group J,2,Austria,Konrad LAIMER,MF,20,AUT,1997/5/27,29,180,72,385259,https://digitalhub.fifa.com/transform/e5140daf-dd57-4b76-9777-85aec86e6c22/LAIMER-Konrad_385259
世界杯小组赛,Group J,2,Austria,Alexander PRASS,MF,22,AUT,2001/5/26,25,180,72,463282,https://digitalhub.fifa.com/transform/be716fd1-7641-4a96-a618-5f2c2214c84f/PRASS-Alexander_463282
世界杯小组赛,Group J,2,Austria,Paul WANNER,MF,24,AUT,2005/12/23,20,185,75,520036,https://digitalhub.fifa.com/transform/b0954793-5e15-4708-9ed0-ea59e3501b8c/WANNER-Paul_520036
世界杯小组赛,Group J,2,Austria,Alessandro SCHOEPF,MF,26,AUT,1994/2/7,32,178,74,375600,https://digitalhub.fifa.com/transform/712811cf-a3ff-4043-91f0-5044f8028dee/SCHOEPF-Alessandro_375600
世界杯小组赛,Group J,2,Austria,Marko ARNAUTOVIC,FW,7,AUT,1989/4/19,37,192,88,299200,https://digitalhub.fifa.com/transform/8bc6e66f-1f5a-4f1d-813d-41c4ab04c6ac/ARNAUTOVIC-Marko_299200
世界杯小组赛,Group J,2,Austria,Michael Gregoritsch,FW,11,AUT,1994/4/18,32,193,91,401131,https://digitalhub.fifa.com/transform/d33de7b2-c69b-4669-aaac-155c5657be16/GREGORITSCH-Michael_401131
世界杯小组赛,Group J,2,Austria,Sasa KALAJDZIC,FW,14,AUT,1997/7/7,28,200,90,430100,https://digitalhub.fifa.com/transform/5d061c8b-6223-45c9-b1fa-c02624542eee/KALAJDZIC-Sasa_430100
世界杯小组赛,Group J,2,Austria,Patrick WIMMER,FW,21,AUT,2001/5/30,25,182,77,463286,https://digitalhub.fifa.com/transform/30760937-4e34-4c1b-b5a3-8b1375d79728/WIMMER-Patrick_463286
世界杯小组赛,Group G,1,Belgium,Thibaut COURTOIS,GK,1,BEL,1992/5/11,34,199,96,358106,https://digitalhub.fifa.com/transform/b630bdbe-3615-43b0-b715-8da37b1ecfa6/COURTOIS-Thibaut_358106
世界杯小组赛,Group G,1,Belgium,Senne LAMMENS,GK,12,BEL,2002/7/7,23,193,88,495348,https://digitalhub.fifa.com/transform/9e407610-b85c-45d8-847a-2bae1d24e699/LAMMENS-Senne_495348
世界杯小组赛,Group G,1,Belgium,Mike PENDERS,GK,13,BEL,2005/7/31,20,200,104,499803,https://digitalhub.fifa.com/transform/88da8ae8-d4af-47b1-8f4c-e3ac46fbc226/PENDERS-Mike_499803
世界杯小组赛,Group G,1,Belgium,Zeno DEBAST,DF,2,BEL,2003/10/24,22,189,80,448369,https://digitalhub.fifa.com/transform/f6f8a277-eb22-4353-9ce1-a8abe7749d1d/DEBAST-Zeno_448369
世界杯小组赛,Group G,1,Belgium,Arthur THEATE,DF,3,BEL,2000/5/25,26,185,78,448346,https://digitalhub.fifa.com/transform/34da124d-c474-4154-90e9-aa132a5df818/THEATE-Arthur_448346
世界杯小组赛,Group G,1,Belgium,Brandon MECHELE,DF,4,BEL,1993/1/28,33,190,78,448360,https://digitalhub.fifa.com/transform/dda9e35d-eedf-403b-8953-a5dc213fbf67/MECHELE-Brandon_448360
世界杯小组赛,Group G,1,Belgium,Maxim DE CUYPER,DF,5,BEL,2000/12/22,25,182,71,448373,https://digitalhub.fifa.com/transform/1c22dfc4-3eb2-4778-b310-ef4b62aef0c6/DE-CUYPER-Maxim_448373
世界杯小组赛,Group G,1,Belgium,Thomas MEUNIER,DF,15,BEL,1991/9/12,34,190,88,358122,https://digitalhub.fifa.com/transform/13d6695b-4220-48cb-91b1-16a60dff2aa6/MEUNIER-Thomas_358122
世界杯小组赛,Group G,1,Belgium,Koni DE WINTER,DF,16,BEL,2002/6/12,24,191,84,448366,https://digitalhub.fifa.com/transform/a19702c3-a309-4e23-9957-dfbe0d9d5d43/DE-WINTER-Koni_448366
世界杯小组赛,Group G,1,Belgium,Joaquin SEYS,DF,18,BEL,2005/3/28,21,178,71,506088,https://digitalhub.fifa.com/transform/33c2b9de-5ae7-4fa1-8db8-6cff8e2b02f0/SEYS-Joaquin_506088
世界杯小组赛,Group G,1,Belgium,Timothy CASTAGNE,DF,21,BEL,1995/12/5,30,185,80,411443,https://digitalhub.fifa.com/transform/58f1cc7c-04f4-43ba-bc82-85c1226fb7a2/CASTAGNE-Timothy_411443
世界杯小组赛,Group G,1,Belgium,Nathan NGOY,DF,25,BEL,2003/6/10,23,183,78,514166,https://digitalhub.fifa.com/transform/77bea513-328c-4af6-a1b6-89efdfeb03ae/NGOY-Nathan_514166
世界杯小组赛,Group G,1,Belgium,Axel WITSEL,MF,6,BEL,1989/1/12,37,186,82,290821,https://digitalhub.fifa.com/transform/ff0110d3-0721-4983-bc62-018a993d8486/WITSEL-Axel_290821
世界杯小组赛,Group G,1,Belgium,Kevin DE BRUYNE,MF,7,BEL,1991/6/28,35,181,79,358120,https://digitalhub.fifa.com/transform/41fb7de3-9f9e-44f1-b63f-0551f5d33b2b/DE-BRUYNE-Kevin_358120
世界杯小组赛,Group G,1,Belgium,Youri TIELEMANS,MF,8,BEL,1997/5/7,29,176,72,401444,https://digitalhub.fifa.com/transform/158822ad-a0e9-406c-a84d-e79b0392409f/TIELEMANS-Youri_401444
世界杯小组赛,Group G,1,Belgium,Diego MOREIRA,MF,19,BEL,2004/8/6,21,179,72,497902,https://digitalhub.fifa.com/transform/dfe97726-1409-4cc2-8463-39184fab3a04/MOREIRA-Diego_497902
世界杯小组赛,Group G,1,Belgium,Hans VANAKEN,MF,20,BEL,1992/8/24,33,195,86,448343,https://digitalhub.fifa.com/transform/9018ca03-c5c1-4dc1-8d4f-7ee07308dc55/VANAKEN-Hans_448343
